EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
630,"825,011","-2,566,056","534,925","-214,058","320,782","-1,924,573","-1,282,731"
620,"246,67",0,0,0,0,0,0
620,"251,159",0,0,0,0,0,0
620,"255,652",0,0,0,0,0,0
620,"260,149",0,0,0,0,0,0
620,"264,65",0,0,0,0,0,0
620,"269,154",0,0,0,0,0,0
620,"273,662",0,0,0,0,0,0
620,"278,174",0,0,0,0,0,0
620,"282,689",0,0,0,0,0,0
620,"287,208",0,0,0,0,0,0
620,"291,73",0,0,0,0,0,0
620,"296,256",0,0,0,0,0,0
620,"300,786",0,0,0,0,0,0
620,"305,319",0,0,0,0,0,0
620,"309,855",0,0,0,0,0,0
620,"314,395",0,0,0,0,0,0
620,"318,939",0,0,0,0,0,0
620,"323,486",0,0,0,0,0,0
620,"328,036",0,0,0,0,0,0
620,"332,59",0,0,0,0,0,0
620,"337,147",0,0,0,0,0,0
620,"341,708",0,0,0,0,0,0
620,"346,272",0,0,0,0,0,0
620,"350,839",0,0,0,0,0,0
620,"355,409",0,0,0,0,0,0
620,"359,983",0,0,0,0,0,0
620,"364,56",0,0,0,0,0,0
620,"369,14",0,0,0,0,0,0
620,"373,724",0,0,0,0,0,0
620,"378,31",0,0,0,0,0,0
620,"382,9",0,0,0,0,0,0
620,"387,493",0,0,0,0,0,0
620,"392,089",0,0,0,0,0,0
620,"396,689",0,0,0,0,0,0
620,"401,291",0,0,0,0,0,0
620,"405,896",0,0,0,0,0,0
620,"410,505",0,0,0,0,0,0
620,"415,116",0,0,0,0,0,0
620,"419,731",0,0,0,0,0,0
620,"424,348",0,0,0,0,0,0
620,"428,968",0,0,0,0,0,0
620,"433,592",0,0,0,0,0,0
620,"438,218",0,0,0,0,0,0
620,"442,847",0,0,0,0,0,0
620,"447,479",0,0,0,0,0,0
620,"452,114",0,0,0,0,0,0
620,"456,751",0,0,0,0,0,0
620,"461,392",0,0,0,0,0,0
620,"466,035",0,0,0,0,0,0
620,"470,681",0,0,0,0,0,0
620,"475,329",0,0,0,0,0,0
620,"479,98",0,0,0,0,0,0
620,"484,634",0,0,0,0,0,0
620,"489,291",0,0,0,0,0,0
620,"493,95",0,0,0,0,0,0
620,"498,612",0,0,0,0,0,0
620,"503,276",0,0,0,0,0,0
620,"507,943",0,0,0,0,0,0
620,"512,612",0,0,0,0,0,0
620,"517,284",0,0,0,0,0,0
620,"521,959",0,0,0,0,0,0
620,"526,635",0,0,0,0,0,0
620,"531,314",0,0,0,0,0,0
620,"535,996",0,0,0,0,0,0
620,"540,68",0,0,0,0,0,0
620,"545,366",0,0,0,0,0,0
620,"550,055",0,0,0,0,0,0
620,"554,746",0,0,0,0,0,0
620,"559,439",0,0,0,0,0,0
620,"564,134",0,0,0,0,0,0
620,"568,832",0,0,0,0,0,0
620,"573,532",0,0,0,0,0,0
620,"578,234",0,0,0,0,0,0
620,"582,938",0,0,0,0,0,0
620,"587,644",0,0,0,0,0,0
620,"592,352",0,0,0,0,0,0
620,"597,062",0,0,0,0,0,0
620,"601,775",0,0,0,0,0,0
620,"606,489",0,0,0,0,0,0
620,"611,205",0,0,0,0,0,0
620,"615,923",0,0,0,0,0,0
620,"620,644",0,0,0,0,0,0
620,"625,366",0,0,0,0,0,0
620,"630,089","1,492,212","1,492,712","652,353","-187,984","91,909","-187,984"
620,"634,815","4,338,856","1,610,869","1,799,059","2,551,221","-175,447","-176,298"
620,"639,543","3,125,422","289,894","478,979","3,974,768","-559,754","1,235,188"
620,"644,272","269,003","584,006","1,445,713","1,828,421","489,023","680,015"
620,"649,003","2,340,698","-289,748","1,951,475","-873,519","1,560,783","-223,775"
620,"653,736","4,675,594","1,798,693","-28,515","1,798,764","1,997,078","409,958"
620,"658,47","-108,752","-3,121,114","-1,916,029","1,295,712","-1,213,077","-2,116,573"
620,"663,206","2,363,255","2,261,182","1,853,023","2,465,266","833,895","-84,904"
620,"667,944","3,513,601","939,744","11,457","-88,518","2,278,142","837,161"
620,"672,683","1,671,541","1,151,277","214,422","1,879,283","839,072","-103,406"
620,"677,424","3,582,541","109,465","-627,418","-521,339","2,003,258","-1,679,349"
620,"682,166","3,742,401","1,186,033","2,784,052","1,825,471","24,642","2,677,341"
620,"686,91","5,504,097","173,354","655,901","-205,078","118,096","2,487,524"
620,"691,656","-2,409,923","-665,213","-447,111","-1,210,816","-448,051","-2,300,866"
620,"696,403","2,314,665","-555,853","-3,673","-1,328,364","-4,307,734","-4,309,431"
620,"701,151","3,588,629","3,813,068","1,799,099","1,910,593","2,469,535","121,225"
620,"705,901","-581,315","-11,498","-2,742,589","-5,243,144","-1,491,386","-1,604,964"
620,"710,652","-3,473,466","-469,869","-416,741","-1,855,968","-1,163,165","-1,278,675"
620,"715,404","3,406,299","1,883,191","476,644","-1,631,199","-459,764","711,222"
620,"720,158","1,656,948","-237,681","-237,679","-1,421,227","-4,498,295","-474,453"
620,"724,913","-496,479","-255,552","-229,887","-3,499,967","-3,139,567","-386,087"
620,"729,669","-1,459,841","-1,096,077","-2,066,768","-246,965","-853,206","-2,551,474"
620,"734,427","-2,055","-2,365,015","-5,080,651","-285,886","-3,352,234","-5,203,353"
620,"739,185","2,261,177","128,797","-150,222","2,009,698","3,732","-112,529"
620,"743,945","512,772","307,307","-127,156","-2,173,666","4,477,704","-1,022,827"
620,"748,706","3,109,168","-134,983","-3,380,258","-4,027,045","103,188","-3,119,863"
620,"753,468","9,191","803,827","2,526,375","406,972","-1,314,142","1,996,143"
620,"758,231","951,383","2,312,578","-3,539,124","-1,496,893","-3,672,439","-681,152"
620,"762,995","-56,963","122,752","-3,474,842","-1,400,002","-23,679","-2,644,544"
620,"767,761","1,718,527","2,425,376","5,254,424","200,182","305,822","3,981,075"
620,"772,527","-564,386","714,397","1,851,376","298,667","1,850,375","-1,558,861"
620,"777,294","3,996,574","149,443","3,260,775","3,113,787","1,643,031","2,083,667"
620,"782,062","-2,544,842","-2,544,975","-4,927,183","2,067,659","-2,098,304","-2,247,143"
620,"786,831","-1,214,368","-3,974,702","1,237,632","1,544,343","-75,337","-141,474"
620,"791,601","773,233","1,080,955","-918,926","-149,206","138,802","-2,456,272"
620,"796,371","6,215,107","2,255,383","9,699,877","3,365,836","5,898,333","6,215,084"
620,"801,143","3,228,389","3,813,916","1,571,175","47,868","2,155,849","2,156,069"
620,"805,915","603,151","4,405,453","4,892,976","2,260,499","2,942,562","505,771"
620,"810,688","879,363","-193,079","1,269,566","-2,531,319","1,073,937","781,858"
620,"815,461","1,768,195","2,158,179","40,301","1,086,188","2,840,054","30,605"
620,"820,236","-3,137,671","-1,480,137","-3,917,884","-3,137,469","-2,163,099","-1,578,017"
620,"825,011","983,608","1,178,542","-86,915","1,568,376","594,023","39,876"
610,"246,67",0,0,0,0,0,0
610,"251,159",0,0,0,0,0,0
610,"255,652",0,0,0,0,0,0
610,"260,149",0,0,0,0,0,0
610,"264,65",0,0,0,0,0,0
610,"269,154",0,0,0,0,0,0
610,"273,662",0,0,0,0,0,0
610,"278,174",0,0,0,0,0,0
610,"282,689",0,0,0,0,0,0
610,"287,208",0,0,0,0,0,0
610,"291,73",0,0,0,0,0,0
610,"296,256",0,0,0,0,0,0
610,"300,786",0,0,0,0,0,0
610,"305,319",0,0,0,0,0,0
610,"309,855",0,0,0,0,0,0
610,"314,395",0,0,0,0,0,0
610,"318,939",0,0,0,0,0,0
610,"323,486",0,0,0,0,0,0
610,"328,036",0,0,0,0,0,0
610,"332,59",0,0,0,0,0,0
610,"337,147",0,0,0,0,0,0
610,"341,708",0,0,0,0,0,0
610,"346,272",0,0,0,0,0,0
610,"350,839",0,0,0,0,0,0
610,"355,409",0,0,0,0,0,0
610,"359,983",0,0,0,0,0,0
610,"364,56",0,0,0,0,0,0
610,"369,14",0,0,0,0,0,0
610,"373,724",0,0,0,0,0,0
610,"378,31",0,0,0,0,0,0
610,"382,9",0,0,0,0,0,0
610,"387,493",0,0,0,0,0,0
610,"392,089",0,0,0,0,0,0
610,"396,689",0,0,0,0,0,0
610,"401,291",0,0,0,0,0,0
610,"405,896",0,0,0,0,0,0
610,"410,505",0,0,0,0,0,0
610,"415,116",0,0,0,0,0,0
610,"419,731",0,0,0,0,0,0
610,"424,348",0,0,0,0,0,0
610,"428,968",0,0,0,0,0,0
